,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}],static-(1+1)-opt,T[static-(1+1)-opt],dynamic-(1+1){>0}-p-drift-1/2n,T[dynamic-(1+1){>0}-p-drift-1/2n],dynamic-(1+1){>0}-p-drift-1/n,T[dynamic-(1+1){>0}-p-drift-1/n],dynamic-(1+1){>0}-p-opt-1/2n,T[dynamic-(1+1){>0}-p-opt-1/2n],dynamic-(1+1){>0}-p-opt-1/n,T[dynamic-(1+1){>0}-p-opt-1/n],old-1+1{>0}-1/2n,T[old-1+1{>0}-1/2n]
2999,1,3000.0,1,3000.0,1.1111111111111111e-07,3000.49988831309,0.9999940391390134,inf,0.0003333333333333333,8153.486306701804,0.00033490957287279606,8153.577210398571,0.0003333333333333333,8153.486306701804,1,3000.0,0.0003333333333333333,8153.486306701804,0.0003333333333333333,5154.486306701803,0.00036439209280562034,8186.904403942549,0.00016666666666666666,3892.091068934073,0.0003333333333333333,5154.486306701803,0.00016666666666666666,3892.091068934073,0.0003333333333333333,5154.486306701803,0.00016666666666666666,3892.091068934073
2998,1,4500.000000002062,1,4500.000000002062,1.1111111111111111e-07,4500.7495824002,0.9999940391390134,,0.0003336113798691623,12227.510441466644,0.0003351341004770579,12227.643653404692,0.000333555703802535,12227.51049822641,1,4500.000000002062,0.0003333333333333333,12227.51185769403,0.0003333333333333333,7730.011441082911,0.00036439209280562034,12277.304168979545,0.00016666666666666666,5837.569023675282,0.0003333333333333333,7730.011441082911,0.00016666666666666666,5837.569023675282,0.0003333333333333333,7730.011441082911,0.00016666666666666666,5837.569023675282
2997,1,5500.000000003436,1,5500.000000003436,1.1111111111111111e-07,5500.915933976832,0.9999940391390134,,0.00033383418982904883,14942.167062303295,0.0003353590372199085,14942.328497895352,0.0003337783711615487,14942.167157002385,1,5500.000000003436,0.0003333333333333333,14942.171536902171,0.0003333333333333333,9446.17010223532,0.00036439209280562034,15002.701356461817,0.00016666666666666666,7134.284187612838,0.0003333333333333333,9446.17010223532,0.00016666666666666666,7134.284187612838,0.0003333333333333333,9446.17010223532,0.00016666666666666666,7134.284187612838
2996,1,6250.000000004467,1,6250.000000004467,1.1111111111111111e-07,6251.040614298242,0.9999940391390134,,0.00033405731630096634,16977.13981241265,0.00033558438352214616,16977.32243130304,0.00033400133600534405,16977.13993566902,1,6250.000000004467,0.0003333333333333333,16977.149071472642,0.0003333333333333333,10732.646026990058,0.00036439209280562034,17045.598255745943,0.00016666666666666666,8106.618025914194,0.0003333333333333333,10732.646026990058,0.00016666666666666666,8106.618025914194,0.0003333333333333333,10732.646026990058,0.00016666666666666666,8106.618025914194
2995,1,6850.000000005292,1,6850.000000005292,1.1111111111111111e-07,6851.140291866534,0.9999940391390134,,0.0003342807662372152,18604.30217915521,0.00033581013980957367,18604.501758955375,0.00033422459893048126,18604.302325360586,1,6850.000000005292,0.0003333333333333333,18604.317981761884,0.0003333333333333333,11761.312728727557,0.00036439209280562034,18678.995817822404,0.00016666666666666666,8884.323128222617,0.0003333333333333333,11761.312728727557,0.00016666666666666666,8884.323128222617,0.0003333333333333333,11761.312728727557,0.00016666666666666666,8884.323128222617
2994,1,7350.00000000598,1,7350.00000000598,1.1111111111111111e-07,7351.223300932758,0.9999940391390134,,0.00033450454038196314,19959.590906120375,0.0003360363065106333,19959.80463341524,0.00033444816053511704,19959.59107155271,1,7350.00000000598,0.0003333333333333333,19959.615027357017,0.0003333333333333333,12618.106963764343,0.00036439209280562034,20039.394517354074,0.00016666666666666666,9532.275789336218,0.0003333333333333333,12618.106963764343,0.00016666666666666666,9532.275789336218,0.0003333333333333333,12618.106963764343,0.00016666666666666666,9532.275789336218
2993,1,7778.571428577997,1,7778.571428577997,1.1111111111111111e-07,7779.865832497517,0.9999940391390134,,0.0003347286394817123,21120.684132423256,0.00033626288404070873,21120.909998918585,0.00033467202141900936,21120.68431443955,1,7778.571428577997,0.0003333333333333333,21120.718356087546,0.0003333333333333333,13352.135449675712,0.00036439209280562034,21204.794624864444,0.00016666666666666666,10087.548177690893,0.0003333333333333333,13352.135449675712,0.00016666666666666666,10087.548177690893,0.0003333333333333333,13352.135449675712,0.00016666666666666666,10087.548177690893
2992,1,8153.571428578512,1,8153.571428578512,1.1111111111111111e-07,8154.928005936189,0.9999940391390134,,0.00033495306428530937,22136.13069494226,0.00033648987282266943,22136.367195536455,0.0003348961821835231,22136.13089157322,1,8153.571428578512,0.0003333333333333333,22136.176809904802,0.0003333333333333333,13994.08988466672,0.00036439209280562034,22223.946308808303,0.00016666666666666666,10573.310398541456,0.0003333333333333333,13994.08988466672,0.00016666666666666666,10573.310398541456,0.0003333333333333333,13994.08988466672,0.00016666666666666666,10573.310398541456
2991,1,8486.904761912303,1,8486.904761912303,1.1111111111111111e-07,8488.31656749902,0.9999940391390134,,0.00033517781554396285,23038.296484867926,0.0003367172733082936,23038.542449916964,0.0003351206434316354,23038.296694594177,1,8486.904761912303,0.0003333333333333333,23038.356283050547,0.0003333333333333333,14564.431400625956,0.00036439209280562034,23129.349680936408,0.00016666666666666666,11005.009188708795,0.0003333333333333333,14564.431400625956,0.00016666666666666666,11005.009188708795,0.0003333333333333333,14564.431400625956,0.00016666666666666666,11005.009188708795
2990,1,8786.904761912714,1,8786.904761912714,1.1111111111111111e-07,8788.366239561186,0.9999940391390134,,0.0003354028940112535,23849.83762597863,0.0003369450859033265,23850.092120652735,0.00033534540576794097,23849.837847595347,1,8786.904761912714,0.0003333333333333333,23849.91290114125,0.0003333333333333333,15077.482789652433,0.00036439209280562034,23943.754818977894,0.00016666666666666666,11393.45726395344,0.0003333333333333333,15077.482789652433,0.00016666666666666666,11393.45726395344,0.0003333333333333333,15077.482789652433,0.00016666666666666666,11393.45726395344
