,Expected time,k^*
500,0.0,0
499,500.0,1
498,749.9999999999509,1
497,916.6666666665848,1
496,1041.6666666665603,1
495,1141.6666666665406,1
494,1224.9999999998577,1
493,1296.428571428415,1
492,1358.9285714284024,1
491,1414.484126983947,1
490,1464.4841269839371,1
489,1509.9386724384735,1
488,1551.6053391051323,1
487,1590.0668775666632,1
486,1625.7811632809419,1
485,1659.1144966142685,1
484,1690.3644966142624,1
483,1719.776261320139,1
482,1747.5540390979113,1
481,1773.8698285715907,1
480,1798.869828571586,1
479,1822.6793523811052,1
478,1845.4066251083734,1
477,1867.1457555431516,1
476,1887.9790888764808,1
475,1907.979088876477,1
474,1927.2098581072426,1
473,1945.7283766257574,1
472,1963.5855194828966,1
471,1980.826898793238,1
470,1997.4935654599012,1
469,2013.6225977179627,1
468,2029.2475977179595,1
467,2044.399112869472,1
466,2059.1049952224103,1
465,2073.3907095081217,1
464,2087.279598397008,1
463,2100.793111910519,1
462,2113.951006647359,1
461,2126.7715194678694,1
460,2139.271519467867,1
459,2151.466641419084,1
458,2163.371403323844,1
457,2174.9993103005854,1
456,2186.3629466642196,1
455,2197.4740577753287,1
454,2208.343622992718,1
453,2218.981920865056,1
452,2229.3985875317208,1
451,2239.6026691643715,1
450,2249.6026691643697,1
449,2259.4065907329955,1
448,2269.0219753483784,1
447,2278.4559376125276,1
446,2287.715196871785,1
445,2296.806105962692,1
444,2305.734677391262,1
443,2314.5066072158215,1
442,2323.1272968709923,1
441,2331.601873142177,1
440,2339.9352064755085,1
439,2348.131927786982,1
438,2356.1964439160124,1
437,2364.132951852519,1
436,2371.945451852517,1
435,2379.6377595448234,1
434,2387.213517120579,1
433,2394.6762036877417,1
432,2402.029144864211,1
431,2409.275521675804,1
430,2416.41837881866,1
429,2423.4606323397857,1
428,2430.4050767842286,1
427,2437.2543918527203,1
426,2444.011148609476,1
425,2450.6778152761417,1
424,2457.2567626445616,1
423,2463.750269138067,1
422,2470.1605255483223,1
421,2476.4896394723714,1
420,2482.73963947237,1
419,2488.912478978542,1
418,2495.01003995415,1
417,2501.0341363396915,1
416,2506.9865172920713,1
415,2512.8688702332465,1
414,2518.6828237216173,1
413,2524.429950158398,1
412,2530.111768340215,1
411,2535.729745868304,1
410,2541.285301423858,1
409,2546.7798069183623,1
408,2552.2145895270573,1
407,2557.590933613078,1
406,2562.910082549247,1
405,2568.1732404439826,1
404,2573.3815737773148,1
403,2578.536212952571,1
402,2583.638253768897,1
401,2588.688758819401,1
400,2593.6887588194,1
399,2598.639253868904,1
398,2603.5412146532167,1
397,2608.3955835852544,1
396,2613.2032758929454,1
395,2617.965180654849,1
394,2622.682161786923,1
393,2627.3550589831843,1
392,2631.984688612813,1
391,2636.571844576115,1
390,2641.1172991215685,1
389,2645.621803626072,1
388,2650.086089340357,1
387,2654.510868101418,1
386,2658.8968330136977,1
385,2663.2446591006533,1
384,2667.5550039282384,1
383,2671.828508201742,1
